playername,position,kills,deaths,assists,dpm,damageshare,wardsplaced,wpm,visionscore,vspm,totalgold,earnedgold,earned gpm,damagetochampions,minionkills,monsterkills,result,win_percent
Acorderr,sup,0.7903225806451611,2.856451612903226,6.141935483870967,194.6841548387097,0.05972701,32.22258064516129,1.3541822580645162,77.85806451612903,3.2633225806451613,6021.75,2918.6048387096776,122.90945,4568.538709677418,31.251612903225805,0.3161290322580645,0.5161290322580645,0.0
Adam,top,2.6929133858267718,2.8503937007874014,5.346456692913386,448.10675196850394,0.20031924566929135,13.795275590551181,0.41436535433070865,35.99212598425197,1.0737818897637794,12813.133858267716,8468.354330708662,253.88425196850392,15064.937007874016,247.07874015748033,8.724409448818898,0.5748031496062992,0.5748031496062992
Addusto,top,1.4291666666666665,2.3625,3.091666666666667,466.94284166666665,0.13403531458333331,7.349999999999999,0.3273916666666667,21.116666666666664,0.9356,8794.508333333333,5819.858333333333,258.3226041666667,10654.408333333333,178.00416666666663,5.454166666666666,0.5833333333333334,0.0
Adiogs,mid,3.9444444444444446,3.4444444444444446,4.722222222222222,715.2966444444444,0.31867455555555557,13.0,0.4214333333333333,37.94444444444444,1.187861111111111,12439.888888888889,8395.444444444445,267.1425388888889,23477.61111111111,243.38888888888889,16.22222222222222,0.3888888888888889,0.3888888888888889
Adison,bot,2.4305555555555554,2.2944444444444443,3.422222222222222,581.7669000000001,0.1909467194444444,6.416666666666666,0.3023972222222222,21.44722222222222,0.9878166666666667,8776.308333333332,5965.049999999999,277.25468611111114,12613.261111111111,170.5861111111111,10.713888888888889,0.3888888888888889,0.0
Advienne,sup,0.7727272727272727,2.378181818181818,7.056363636363636,171.61884545454546,0.06033896672727273,41.25272727272728,1.4384218181818182,85.39636363636365,3.042729090909091,6510.090909090909,2820.832727272727,101.04778363636363,4688.629090909091,23.603636363636365,0.03636363636363636,0.4727272727272727,0.35714285714285715
Ady,top,1.1666666666666667,3.266666666666666,1.633333333333333,487.9572166666667,0.1863463,7.466666666666666,0.3357666666666667,23.099999999999998,1.0540833333333335,7640.849999999999,4737.366666666666,208.65705,11356.449999999999,168.35,1.2833333333333334,0.16666666666666666,0.0
Aegis,jng,2.7777777777777777,2.9166666666666665,7.833333333333333,349.8593037037037,0.1517108,10.36111111111111,0.2977287037037037,42.98148148148148,1.2321796296296297,11973.064814814816,7465.259259259259,216.40195925925926,12039.277777777777,28.074074074074073,178.33333333333334,0.6111111111111112,0.0
Aeon,bot,2.6923076923076925,1.965384615384615,4.065384615384615,558.3493576923076,0.18432453846153846,7.753846153846154,0.35254615384615384,20.91923076923077,0.9485384615384616,9175.976923076923,6301.426923076922,289.0618346153846,12210.692307692309,185.47307692307692,4.334615384615384,0.5769230769230769,0.0
Aetinoth,bot,3.539622641509434,1.4264150943396225,4.041509433962264,708.1459849056604,0.20043929433962263,10.724528301886792,0.4677622641509434,28.079245283018864,1.2218056603773586,9965.305660377358,6973.175471698113,305.37728301886796,16490.42830188679,186.2396226415094,10.130188679245283,0.5094339622641509,0.0
