playername,kills,deaths,assists,dpm,damageshare,wardsplaced,wpm,visionscore,vspm,totalgold,earnedgold,earned gpm,damagetochampions,minionkills,monsterkills,result,win_percent,elo,position_bot,position_jng,position_mid,position_sup,position_top,performance_score
225,0.0,2.0,13.5,169.93095,0.06572885,46.0,1.80585,82.5,3.2312000000000003,6869.0,3443.0,133.1225,4270.5,30.5,1.0,1.0,0.0,1011.1820256460772,False,False,False,True,False,733.5010576121929
225,3.0,5.0,3.0,590.6402,0.204104,23.0,1.0155,45.0,1.9868,6653.0,3605.0,159.1611,13378.0,41.0,2.0,0.0,0.0,1011.1820256460772,False,False,False,False,True,879.9181089937202
2Axes,2.8875,2.625,3.2375,628.73555,0.1915802875,7.962499999999999,0.3704625,18.1125,0.826175,8839.162499999999,6036.362499999999,275.9331625,14116.2875,151.8125,13.825,0.375,0.0,993.714632963566,True,False,False,False,False,973.5154967767038
2T,2.4,4.9,2.65,492.351415,0.2289044,15.25,0.49779,33.0,1.053295,11186.55,7163.25,229.869775,15731.25,229.75,9.65,0.0,0.0,871.676140913627,False,False,False,False,True,999.0076856535184
369,2.5659574468085107,2.1319148936170214,5.54468085106383,521.0252791489362,0.2081952821276596,10.902127659574468,0.3577791489361702,30.4,0.992164255319149,11860.489361702128,7880.561702127659,261.69731872340424,15802.574468085106,233.85531914893616,9.97872340425532,0.7319148936170212,0.7319148936170212,1654.793037765282,False,False,False,False,True,1397.1290677289107
3XA,4.121951219512195,2.426829268292683,4.719512195121951,613.8925256097561,0.2775631341463414,17.914634146341463,0.5559536585365854,50.170731707317074,1.5454219512195122,14374.280487804876,10190.463414634149,318.01255,20083.914634146346,290.5609756097561,19.463414634146343,0.4512195121951219,0.4512195121951219,1005.0117927700596,True,False,False,False,False,1248.5999001061227
42 Nuker,2.2166666666666663,5.016666666666667,3.85,448.1434,0.1138189499999999,5.483333333333333,0.2180166666666666,21.816666666666663,0.9148333333333332,8282.75,5121.783333333333,210.76426666666663,10798.9,12.483333333333333,135.79999999999998,0.0,0.0,983.0107011273832,False,True,False,False,False,884.5797771402017
4ever,3.083333333333333,4.333333333333333,6.5,358.99349166666667,0.15044535,10.75,0.37555,35.25,1.2220583333333332,8978.833333333334,5361.166666666667,192.61965,9928.166666666666,25.33333333333333,105.25,0.3333333333333333,0.0,971.7421377222428,False,True,False,False,False,879.9531670819224
5K,2.0476190476190474,2.119047619047619,4.376190476190476,500.5149537414966,0.1556429776190476,6.942857142857142,0.3207428571428571,19.819047619047616,0.903674149659864,8420.466666666665,5573.466666666666,256.46637142857145,10925.35238095238,164.43809523809523,5.719047619047618,0.4897959183673469,0.0,1006.3412238261444,False,False,False,False,True,911.4392852257159
5t5,2.9555555555555557,2.7999999999999994,6.533333333333333,466.2103,0.1259019688888888,8.71111111111111,0.3643333333333333,33.833333333333336,1.4301666666666666,8491.31111111111,5403.377777777777,225.6876111111111,11456.666666666666,23.488888888888887,121.72222222222224,0.2222222222222222,0.0,985.2832971429694,False,True,False,False,False,906.1473991697422
